Timestamp,Elapsed_Sec,Rad_Intensity_Area,Count_Rate_CPS
2026-06-30 11:22:58,1,17,17.0
2026-06-30 11:22:59,3,19,6.33
2026-06-30 11:23:00,4,20,5.0
2026-06-30 11:23:01,5,24,4.8
2026-06-30 11:23:02,6,26,4.33
2026-06-30 11:23:03,7,29,4.14
2026-06-30 11:23:04,8,30,3.75
2026-06-30 11:23:06,9,30,3.33
2026-06-30 11:23:07,11,33,3.0
2026-06-30 11:23:08,12,33,2.75
2026-06-30 11:23:09,13,33,2.54
2026-06-30 11:23:10,14,35,2.5
2026-06-30 11:23:11,15,36,2.4
2026-06-30 11:23:12,16,37,2.31
2026-06-30 11:23:13,17,37,2.18
2026-06-30 11:23:15,18,41,2.28
2026-06-30 11:23:16,19,41,2.16
2026-06-30 11:23:17,21,44,2.1
2026-06-30 11:23:18,22,46,2.09
2026-06-30 11:23:19,23,49,2.13
2026-06-30 11:23:20,24,49,2.04
2026-06-30 11:23:21,25,49,1.96
2026-06-30 11:23:22,26,49,1.88
2026-06-30 11:23:23,27,49,1.81
2026-06-30 11:23:24,28,49,1.75
2026-06-30 11:23:25,29,49,1.69
2026-06-30 11:23:26,30,49,1.63
2026-06-30 11:23:27,31,49,1.58
2026-06-30 11:23:28,32,49,1.53
2026-06-30 11:23:29,33,49,1.48
2026-06-30 11:23:30,34,49,1.44
2026-06-30 11:23:31,35,49,1.4
2026-06-30 11:23:35,39,49,1.26
2026-06-30 11:23:36,40,49,1.23
2026-06-30 11:23:37,41,49,1.2
2026-06-30 11:23:38,42,49,1.17
2026-06-30 11:23:39,43,49,1.14
2026-06-30 11:23:41,44,49,1.11
2026-06-30 11:23:42,45,49,1.09
2026-06-30 11:23:43,46,49,1.07
2026-06-30 11:23:44,47,49,1.04
2026-06-30 11:23:45,49,49,1.0
2026-06-30 11:23:46,50,49,0.98
2026-06-30 11:23:47,51,49,0.96
2026-06-30 11:23:48,52,49,0.94
2026-06-30 11:23:49,53,49,0.92
2026-06-30 11:23:50,54,49,0.91
2026-06-30 11:23:51,55,49,0.89
2026-06-30 11:23:52,56,49,0.88
2026-06-30 11:23:53,57,49,0.86
2026-06-30 11:23:54,58,49,0.84
2026-06-30 11:23:55,59,49,0.83
2026-06-30 11:23:56,60,49,0.82
2026-06-30 11:23:57,61,49,0.8
2026-06-30 11:23:58,62,49,0.79
2026-06-30 11:23:59,63,49,0.78
2026-06-30 11:24:00,64,49,0.77
2026-06-30 11:24:01,65,49,0.75
2026-06-30 11:24:02,66,49,0.74
2026-06-30 11:24:03,67,49,0.73
2026-06-30 11:24:04,68,49,0.72
2026-06-30 11:24:05,69,49,0.71
2026-06-30 11:24:06,70,49,0.7
2026-06-30 11:24:07,71,49,0.69
2026-06-30 11:24:08,72,49,0.68
2026-06-30 11:24:09,73,49,0.67
2026-06-30 11:24:10,74,49,0.66
2026-06-30 11:24:11,75,49,0.65
2026-06-30 11:24:12,76,49,0.64
2026-06-30 11:24:13,77,49,0.64
2026-06-30 11:24:14,78,49,0.63
2026-06-30 11:24:15,79,49,0.62
2026-06-30 11:24:16,80,49,0.61
2026-06-30 11:24:17,81,49,0.6
2026-06-30 11:24:18,82,49,0.6
2026-06-30 11:24:19,83,49,0.59
2026-06-30 11:24:20,84,49,0.58
2026-06-30 11:24:22,85,49,0.58
