Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,75
81,82
82,88
83,75
84,67
85,64
86,68
87,66
88,59
89,63
90,68
91,71
92,51
93,70
94,59
95,48
96,48
97,39
98,50
99,42
100,56
101,31
102,37
103,42
104,46
105,33
106,38
107,37
108,44
109,48
110,39
111,34
112,44
113,30
114,38
115,34
116,33
117,38
118,40
119,42
120,40
121,30
122,22
123,38
124,45
125,37
126,36
127,31
128,29
129,35
130,39
131,35
132,39
133,29
134,35
135,27
136,36
137,29
138,53
139,28
140,33
141,36
142,34
143,35
144,26
145,40
146,35
147,31
148,34
149,49
150,34
151,49
152,39
153,29
154,22
155,34
156,36
157,28
158,29
159,24
160,36
161,33
162,26
163,28
164,28
165,28
166,23
167,23
168,26
169,20
170,31
171,19
172,9
173,24
174,19
175,24
176,11
177,17
178,23
179,23
180,17
181,22
182,9
183,15
184,12
185,11
186,16
187,7
188,12
189,7
190,15
191,7
192,18
193,8
194,18
195,16
196,6
197,9
198,11
199,13
200,7
201,9
202,19
203,12
204,6
205,12
206,9
207,12
208,12
209,19
210,18
211,13
212,15
213,7
214,22
215,17
216,16
217,18
218,30
219,26
220,23
221,25
222,23
223,44
224,28
225,25
226,17
227,40
228,42
229,36
230,37
231,41
232,45
233,48
234,45
235,45
236,40
237,46
238,46
239,49
240,39
241,25
242,47
243,27
244,38
245,31
246,31
247,39
248,29
249,35
250,22
251,19
252,20
253,23
254,22
255,19
256,19
257,14
258,14
259,14
260,16
261,9
262,13
263,8
264,6
265,8
266,14
267,8
268,7
269,3
270,9
271,7
272,11
273,13
274,11
275,8
276,3
277,13
278,7
279,9
280,9
281,15
282,14
283,12
284,2
285,12
286,18
287,6
288,4
289,8
290,4
291,6
292,7
293,13
294,9
295,14
296,12
297,3
298,9
299,4
300,11
301,7
302,15
303,7
304,8
305,14
306,17
307,7
308,8
309,9
310,7
311,7
312,9
313,4
314,13
315,8
316,15
317,6
318,16
319,12
320,6
321,15
322,9
323,13
324,17
325,8
326,11
327,7
328,9
329,14
330,5
331,11
332,6
333,11
334,14
335,13
336,4
337,9
338,11
339,9
340,11
341,9
342,5
343,8
344,12
345,8
346,5
347,8
348,12
349,6
350,4
351,11
352,9
353,6
354,4
355,4
356,11
357,4
358,4
359,5
360,5
361,2
362,5
363,3
364,6
365,7
366,11
367,7
368,5
369,5
370,8
371,3
372,7
373,3
374,11
375,7
376,12
377,7
378,6
379,6
380,7
381,1
382,4
383,7
384,1
385,3
386,5
387,5
388,6
389,4
390,5
391,4
392,4
393,5
394,4
395,6
396,6
397,6
398,3
399,3
400,5
401,6
402,11
403,2
404,4
405,7
406,8
407,4
408,7
409,7
410,8
411,7
412,7
413,7
414,9
415,6
416,7
417,6
418,8
419,4
420,7
421,6
422,4
423,7
424,3
425,5
426,5
427,6
428,3
429,1
430,4
431,2
432,4
433,3
434,2
435,2
436,3
437,2
438,1
439,1
440,1
441,1
442,3
443,1
444,0
445,2
446,0
447,4
448,2
449,4
450,2
451,2
452,1
453,4
454,1
455,2
456,5
457,6
458,3
459,2
460,2
461,1
462,2
463,4
464,4
465,1
466,8
467,2
468,4
469,4
470,4
471,4
472,6
473,3
474,2
475,7
476,4
477,4
478,5
479,4
480,2
481,0
482,4
483,2
484,1
485,2
486,2
487,0
488,3
489,1
490,2
491,0
492,1
493,2
494,2
495,0
496,2
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,1
