Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,173
81,137
82,167
83,144
84,185
85,148
86,147
87,144
88,143
89,150
90,151
91,140
92,130
93,134
94,137
95,141
96,111
97,138
98,119
99,108
100,127
101,118
102,114
103,105
104,117
105,104
106,100
107,123
108,104
109,106
110,104
111,94
112,101
113,110
114,99
115,74
116,115
117,110
118,86
119,96
120,86
121,69
122,94
123,103
124,94
125,77
126,71
127,101
128,85
129,83
130,94
131,85
132,77
133,91
134,95
135,85
136,72
137,72
138,83
139,75
140,97
141,93
142,74
143,86
144,90
145,79
146,85
147,89
148,83
149,67
150,85
151,79
152,73
153,77
154,78
155,93
156,78
157,82
158,77
159,72
160,78
161,79
162,74
163,77
164,67
165,59
166,58
167,64
168,59
169,59
170,72
171,66
172,56
173,53
174,58
175,47
176,48
177,49
178,31
179,42
180,36
181,31
182,39
183,37
184,36
185,23
186,36
187,30
188,29
189,34
190,38
191,30
192,25
193,34
194,29
195,19
196,24
197,20
198,33
199,24
200,27
201,33
202,31
203,31
204,23
205,14
206,25
207,35
208,30
209,33
210,27
211,42
212,46
213,33
214,38
215,38
216,39
217,52
218,57
219,59
220,66
221,55
222,79
223,79
224,83
225,94
226,106
227,86
228,74
229,116
230,103
231,122
232,119
233,117
234,93
235,122
236,101
237,123
238,122
239,111
240,129
241,92
242,92
243,96
244,103
245,86
246,63
247,57
248,51
249,63
250,62
251,66
252,68
253,50
254,34
255,42
256,36
257,38
258,35
259,26
260,24
261,26
262,28
263,24
264,29
265,22
266,25
267,28
268,18
269,22
270,14
271,23
272,15
273,18
274,25
275,23
276,24
277,17
278,11
279,23
280,19
281,24
282,22
283,16
284,20
285,24
286,15
287,23
288,26
289,18
290,23
291,20
292,30
293,13
294,26
295,16
296,15
297,26
298,24
299,15
300,25
301,24
302,27
303,19
304,12
305,22
306,16
307,16
308,23
309,29
310,24
311,19
312,20
313,14
314,23
315,29
316,25
317,17
318,18
319,25
320,27
321,17
322,16
323,27
324,25
325,16
326,28
327,28
328,13
329,19
330,17
331,12
332,25
333,26
334,11
335,30
336,18
337,22
338,25
339,15
340,17
341,22
342,17
343,12
344,14
345,16
346,17
347,17
348,13
349,12
350,14
351,17
352,13
353,16
354,14
355,16
356,6
357,15
358,9
359,13
360,12
361,16
362,14
363,14
364,13
365,13
366,12
367,9
368,14
369,14
370,12
371,12
372,12
373,7
374,13
375,16
376,3
377,12
378,6
379,9
380,13
381,5
382,11
383,13
384,9
385,12
386,8
387,13
388,20
389,16
390,19
391,12
392,7
393,8
394,17
395,13
396,16
397,12
398,9
399,7
400,16
401,13
402,15
403,12
404,17
405,12
406,14
407,15
408,11
409,16
410,14
411,9
412,18
413,18
414,13
415,14
416,9
417,11
418,17
419,17
420,12
421,17
422,14
423,12
424,12
425,13
426,6
427,8
428,12
429,13
430,7
431,5
432,5
433,6
434,4
435,6
436,5
437,4
438,1
439,4
440,3
441,2
442,1
443,3
444,3
445,5
446,3
447,2
448,2
449,6
450,5
451,5
452,7
453,5
454,9
455,5
456,6
457,4
458,8
459,12
460,8
461,4
462,12
463,5
464,11
465,4
466,17
467,14
468,8
469,9
470,5
471,3
472,14
473,20
474,5
475,8
476,5
477,4
478,8
479,9
480,4
481,6
482,7
483,6
484,8
485,11
486,4
487,4
488,5
489,1
490,2
491,0
492,4
493,2
494,1
495,1
496,2
497,1
498,2
499,3
500,2
501,1
502,0
503,2
504,2
505,1
506,2
507,1
508,0
509,1
510,2
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,1
531,0
