latitude,longitude,date,time,hour,time_of_day,uvi
-90,-160,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-160,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-160,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-160,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-160,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-160,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-160,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-160,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-160,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-160,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-160,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-180,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-180,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-180,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-180,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-180,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-180,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-180,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-180,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-180,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-180,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-180,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-155,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-155,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-155,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-155,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-155,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-155,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-155,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-155,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-155,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-155,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-155,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-170,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-170,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-170,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-170,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-170,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-170,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-170,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-170,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-170,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-170,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-170,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-175,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-175,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-175,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-175,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-175,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-175,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-175,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-175,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-175,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-175,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-175,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-165,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-165,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-165,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-165,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-165,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-165,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-165,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-165,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-165,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-165,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-165,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-150,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-150,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-150,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-150,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-150,2025-03-04,17:00:00Z,17,Afternoon,0.3
-90,-150,2025-03-04,18:00:00Z,18,Evening,0.3
-90,-150,2025-03-04,19:00:00Z,19,Evening,0.3
-90,-150,2025-03-04,20:00:00Z,20,Evening,0.3
-90,-150,2025-03-04,21:00:00Z,21,Evening,0.3
-90,-150,2025-03-04,22:00:00Z,22,Evening,0.3
-90,-150,2025-03-04,23:00:00Z,23,Evening,0.3
-90,-135,2025-03-04,13:00:00Z,13,Afternoon,0.3
-90,-135,2025-03-04,14:00:00Z,14,Afternoon,0.3
-90,-135,2025-03-04,15:00:00Z,15,Afternoon,0.3
-90,-135,2025-03-04,16:00:00Z,16,Afternoon,0.3
-90,-135,2025-03-04,17:00:00Z,17,Afternoon,0.3
